fips,fy,oblig,oblig_pc,oblig_pos,oblig_pos_pc,pop
53031,2008,276958370.2393501,9341.55323257387,277199519.77814215,9349.686986580618,29648
49051,2008,59946796.81126817,2710.0721885745106,60147378.681093484,2719.1400850403925,22120
27095,2008,167422320.97851223,6397.245843816141,167432487.6823761,6397.634315936574,26171
26057,2008,249117189.38902536,5824.03304318103,249135056.15450004,5824.450744716418,42774
38017,2008,741616561.055467,5139.7640935301615,745660318.359307,5167.789301817916,144290
39061,2008,9250959471.140766,11566.012541434244,9299032312.576216,11626.115613843038,799840
13039,2008,246527186.74366748,4959.008443338111,249514007.99192232,5019.089734916869,49713
42009,2008,337426656.6735676,6741.521950642684,337590828.5434547,6744.801976813208,50052
20037,2008,260805024.68887973,6687.822773261526,260840246.8250088,6688.725974434156,38997
01089,2008,11314414622.352438,34972.19581224519,11786951739.124468,36432.780484797106,323526
17095,2008,363061555.15940857,6871.4807169242295,363161931.3267913,6873.380485403726,52836
51710,2008,4192359972.479588,17381.18818943366,4317108822.408981,17898.38691551437,241201
32005,2008,243610902.0664225,5153.6048670704995,244007150.64621544,5161.987532181414,47270
26133,2008,173537473.03642777,7334.015427116379,173537473.03642777,7334.015427116379,23662
51115,2008,76991807.25254795,8515.85081877535,76992072.42023255,8515.880148239416,9041
48483,2008,46111054.2683142,8869.216054686323,46111054.2683142,8869.216054686323,5199
20065,2008,25544807.96896931,9570.92842599075,25553200.089097686,9574.072719781823,2669
41057,2008,190701906.8001421,7582.279305003463,191064322.1105479,7596.688883565183,25151
48457,2008,153338241.6140927,7108.866092447506,153527935.58223063,7117.6604349666495,21570
20175,2008,76123604.07794063,3379.9664362818858,76138746.31830421,3380.6387673521094,22522
35057,2008,65472415.99451211,4027.336900689679,65497350.61521465,4028.8706781826077,16257
10005,2008,1337049832.9500546,6964.127656765446,1337130872.099139,6964.549755452802,191991
32029,2008,22576205.15390366,5507.73485091575,22583489.980403986,5509.5120713354445,4099
21231,2008,255131305.53653094,12291.338128656884,255131305.53653094,12291.338128656884,20757
26011,2008,141611854.93955028,8558.15887711067,141946490.72966933,8578.382228178481,16547
48309,2008,1329394481.889006,5804.278268965302,1333933987.2402916,5824.098234085723,229037
48203,2008,348592382.4554465,5437.6648798952765,348967382.0122385,5443.514468189722,64107
19163,2008,1074089198.785586,6637.3912323609975,1078277284.6018643,6663.271731027934,161824
18057,2008,708915353.6773356,2706.052332206004,709115828.023122,2706.8175774050933,261974
32003,2008,9441835142.164366,4937.2970844570555,9532810948.450754,4984.86988957076,1912349
31031,2008,31287988.481075883,5439.497301995112,31317840.24310892,5444.687107633679,5752
01113,2008,320326096.9679514,6227.905606562807,321360033.8501082,6248.007812927406,51434
19021,2008,114232922.89114876,5753.357989984828,114266906.60677278,5755.069584828647,19855
24005,2008,7713842315.548687,9658.589691302817,7776942898.480577,9737.598648822299,798651
37161,2008,388082918.6950856,5779.773902674594,388133530.75567925,5780.527675265162,67145
49047,2008,102591054.46770047,3308.428342342561,102880263.4930198,3317.754958012829,31009
53049,2008,185146263.90382037,8690.272889172511,185503521.64448187,8707.041616732311,21305
40001,2008,132628229.70085347,5935.211210098159,132933189.9488925,5948.858406376645,22346
05007,2008,830973392.9494733,3941.8681208378907,831249359.8357251,3943.1772181935376,210807
06103,2008,342368550.780928,5464.955797167157,342397903.41578853,5465.424329839557,62648
55101,2008,1187604003.9652653,6098.721326787168,1193605124.1134212,6129.538972492278,194730
27035,2008,402032062.13612765,6465.824924187456,403089199.7045834,6482.826718527186,62178
50017,2008,148900613.3084241,5128.844492574542,148932343.0987289,5129.937417288816,29032
12075,2008,249646556.64851627,6117.438718138555,249649311.90102556,6117.506233944119,40809
48475,2008,64277353.37809971,6070.773836239111,64277353.37809971,6070.773836239111,10588
21053,2008,200240852.5271826,19529.97683869917,200240852.5271826,19529.97683869917,10253
48215,2008,2271853269.482132,3083.849290861785,2274099990.2390513,3086.8990248855716,736694
41029,2008,1262928331.6386478,6278.165516542129,1265091783.8855987,6288.9202925284035,201162
48321,2008,197854172.90073523,5389.946957086609,198303498.08534482,5402.187481893451,36708
19063,2008,79155794.91967678,7576.167201347318,79164782.93861288,7577.027463496638,10448
18095,2008,1027557733.1441443,7811.929214929216,1027761192.1416264,7813.47599642402,131537
12093,2008,291940245.4482707,7304.349615899487,292085834.17741466,7307.992248233953,39968
36019,2008,448568327.3855094,5443.724316276615,449013407.58516,5449.125709459351,82401
30081,2008,242690825.84232396,6033.633141295377,244605692.14131248,6081.239393911754,40223
01055,2008,810787073.430451,7780.617943596828,812072357.4283584,7792.952012632271,104206
